"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 28-Feb-2024","1W AGO 
 23-Feb-2024","1M AGO 
 30-Jan-2024","1Y AGO 
 01-Mar-2023","52W H 
","52W L 
","365 D % CHNG 
 01-Mar-2023","30 D % CHNG 
 30-Jan-2024"
"NIFTY INDIA DIGITAL","7,786.65","0.06","7,819.05","7,864.90","7,759.95","7,781.65","7,748.45","7,805.30","7,527.35","5,274.10","7,856.35","4,755.25","47.54","3.38"
"NIFTY100 ESG","4,370.80","1.05","4,342.50","4,373.10","4,341.95","4,325.30","4,308.95","4,365.25","4,189.60","3,236.60","-","-","33.64","3.24"
"NIFTY INDIA MANUFACTURING","11,905.90","1.34","11,811.90","11,910.90","11,808.70","11,748.25","11,709.05","11,845.80","11,104.95","8,044.35","-","-","46.04","5.79"
"NIFTY 8-13 YR G-SEC","2,568.33","0.01","2,568.55","2,570.27","2,568.33","2,568.04","2,569.14","2,566.26","2,539.48","2,343.57","-","-","9.64","1.18"
"NIFTY 10 YR BENCHMARK G-SEC","2,274.13","-","2,274.69","2,277.17","2,274.13","2,274.25","2,275.31","2,271.66","2,248.71","2,075.03","-","-","9.65","1.18"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","875.97","-0.02","876.19","877.14","875.97","876.19","876.95","876.40","871.49","857.63","-","-","2.21","0.58"
"NIFTY 4-8 YR G-SEC INDEX","2,780.83","-0.03","2,782.44","2,782.84","2,780.83","2,781.90","2,781.53","2,776.99","2,765.42","2,559.03","-","-","8.72","0.60"
"NIFTY 11-15 YR G-SEC INDEX","2,833.79","0.04","2,833.03","2,834.94","2,833.03","2,832.47","2,835.28","2,832.22","2,791.50","2,562.06","-","-","10.67","1.57"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,137.04","0.08","3,135.00","3,138.49","3,134.87","3,134.39","3,140.01","3,138.51","3,064.58","2,811.60","-","-","11.60","2.38"
"NIFTY COMPOSITE G-SEC INDEX","2,657.69","0.01","2,657.78","2,659.67","2,657.69","2,657.27","2,658.80","2,655.33","2,624.52","2,423.62","-","-","9.69","1.30"
